GIA;Код ОО;Краткое наименование ОО;Вид ОО;Тип ОО;Выпускник;Код предмета;Предмет;Вариант;Часть В;1_Часть В;2_Часть В;3_Часть В;4_Часть В;5_Часть В;6_Часть В;7_Часть В;8_Часть В;9_Часть В;10_Часть В;11_Часть В;12_Часть В;13_Часть В;14_Часть В;15_Часть В;16_Часть В;17_Часть В;18_Часть В;Часть С;1_Часть С;2_Часть С;Часть D;Первичный балл;% Оценка;Оцека по 100;Оцека по 5
1;203024;МОУ - ООШ № 2;Основная общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;+++++++++++--+--++;+;+;+;+;+;+;+;+;+;+;+;-;-;+;-;-;+;+;2(2)0(2);2;0;;16;72;0;4
1;203033;МОУ - СОШ № 3 г. Аткарска Саратовской области имени Героя Советского Союза Антонова Владимира Семеновича;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;+++++-+++++++++-+-;+;+;+;+;+;-;+;+;+;+;+;+;+;+;+;-;+;-;2(2)0(2);2;0;;17;77;0;4
1;203033;МОУ - СОШ № 3 г. Аткарска Саратовской области имени Героя Советского Союза Антонова Владимира Семеновича;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+--+++++++++-++++-;+;-;-;+;+;+;+;+;+;+;+;+;-;+;+;+;+;-;0(2)0(2);0;0;;14;63;0;4
1;203053;МОУ - СОШ № 8 г. Аткарска Саратовской области;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;73202;--++++-++-++--+---;-;-;+;+;+;+;-;+;+;-;+;+;-;-;+;-;-;-;0(2)0(2);0;0;;9;40;0;3
1;203053;МОУ - СОШ № 8 г. Аткарска Саратовской области;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++-+++++---+++--++;+;+;-;+;+;+;+;+;-;-;-;+;+;+;-;-;+;+;0(2)0(2);0;0;;12;54;0;4
1;204103;"МБОУ ""СОШ с. Казанла Базарно-Карабулакского муниципального района Саратовской области""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+++---++-----+--++;+;+;+;-;-;-;+;+;-;-;-;-;-;+;-;-;+;+;0(2)0(2);0;0;;8;36;0;3
1;205016;МАОУ Лицей № 1;Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;++++++++++++++--++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;1(2)2(2);1;2;;19;86;0;5
1;205023;МАОУ СОШ № 3;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;76449;++--+-++---+------;+;+;-;-;+;-;+;+;-;-;-;+;-;-;-;-;-;-;0(2)0(2);0;0;;6;27;0;3
1;205026;МАОУ Лицей № 2;Лицей;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;++++++++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0(2)0(2);0;0;;18;81;0;5
1;205063;МАОУ СОШ № 11;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74018;+--+--+----+------;+;-;-;+;-;-;+;-;-;-;-;+;-;-;-;-;-;-;0(2)0(2);0;0;;4;18;0;3
1;205063;МАОУ СОШ № 11;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;74810;-+--+++------+--+-;-;+;-;-;+;+;+;-;-;-;-;-;-;+;-;-;+;-;0(2)0(2);0;0;;6;27;0;3
1;205143;МАОУ СОШ № 25;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;++++++--++++++++++;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;1(2)2(2);1;2;;19;86;0;5
1;205143;МАОУ СОШ № 25;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;--++++--+-+-++--+-;-;-;+;+;+;+;-;-;+;-;+;-;+;+;-;-;+;-;0(2)0(2);0;0;;9;40;0;3
1;205143;МАОУ СОШ № 25;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;-++++-++-++--+++++;-;+;+;+;+;-;+;+;-;+;+;-;-;+;+;+;+;+;1(2)2(2);1;2;;16;72;0;4
1;205153;МАОУ СОШ № 26;Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;75657;-----+++----------;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;0(2)0(2);0;0;;3;13;0;2
1;206015;"МОУ ""Гимназия имени Ю. А. Гарнаева""";Гимназия;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;++++++++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;2(2)2(2);2;2;;22;100;0;5
1;208103;"МОУ ""СОШ № 47 р.п.Сенной""";Средняя общеобразовательная школа;Общеобразовательное учреждение/организация;Выпускник общеобразовательной организации текущего года;5;Информатика;80255;+--++-+--+--------;+;-;-;+;+;-;+;-;-;+;-;-;-;-;-;-;-;-;0(2)0(2);0;0;;5;22;0;3
